City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Colon,PA,9.3592,-79.9014,78.37,88,100,1.9,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,42.96,90,98,3.71,overcast clouds
2,Bengkulu,ID,-3.8004,102.2655,84.07,62,86,9.84,overcast clouds
3,Derzhavinsk,KZ,51.1,66.3167,79.66,39,38,12.08,scattered clouds
4,Butaritari,KI,3.0707,172.7902,82.54,77,29,15.39,light rain
5,Vaini,TO,-21.2,-175.2,75.36,83,40,9.22,scattered clouds
6,Hithadhoo,MV,-0.6,73.0833,82.78,74,94,6.04,heavy intensity rain
7,Sechura,PE,-5.5569,-80.8222,62.64,80,93,11.65,overcast clouds
8,Lebu,CL,-37.6167,-73.65,47.01,86,28,8.63,scattered clouds
9,Brunico,IT,46.7958,11.9364,65.66,68,48,2.33,scattered clouds
10,Albany,US,42.6001,-73.9662,57.16,81,1,4.54,clear sky
11,Candolim,IN,15.5181,73.7626,80.6,89,100,8.05,overcast clouds
12,Banepa,NP,27.6298,85.5214,80.92,61,20,2.3,few clouds
13,Tiksi,RU,71.6872,128.8694,58.15,47,81,6.85,broken clouds
14,Xining,CN,36.6167,101.7667,78.8,41,80,11.39,broken clouds
15,Khatanga,RU,71.9667,102.5,52.56,72,100,9.17,overcast clouds
16,Port Alfred,ZA,-33.5906,26.891,59.18,84,18,1.99,few clouds
17,Castro,BR,-24.7911,-50.0119,52.03,88,56,4.29,broken clouds
18,Kaka,TM,37.3482,59.6143,91.0,14,0,5.79,clear sky
19,Hermanus,ZA,-34.4187,19.2345,47.8,77,67,2.77,light rain
20,Punta Arenas,CL,-53.15,-70.9167,24.91,80,20,9.22,few clouds
21,Yaan,NG,7.3833,8.5667,71.49,97,100,4.85,overcast clouds
22,Tougue,GN,11.4667,-11.6,67.62,95,100,2.37,light rain
23,Opuwo,NA,-18.0607,13.84,52.39,65,0,3.74,clear sky
24,Jamestown,US,42.097,-79.2353,58.71,65,0,5.75,clear sky
25,Yankton,US,42.8711,-97.3973,78.12,83,0,12.66,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,48.63,86,9,4.63,clear sky
27,Qaanaaq,GL,77.484,-69.3632,42.08,79,42,5.55,scattered clouds
28,Cape Town,ZA,-33.9258,18.4232,55.11,93,75,4.61,broken clouds
29,Airai,TL,-8.9266,125.4092,65.5,78,76,3.91,broken clouds
30,Magaria,NE,12.9983,8.9099,80.49,59,84,6.08,broken clouds
31,Barrow,US,71.2906,-156.7887,46.42,76,40,9.22,scattered clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,71.55,88,93,1.99,overcast clouds
33,Yushu,CN,44.8,126.5333,78.58,65,49,10.16,scattered clouds
34,Amuntai,ID,-2.4177,115.2494,91.45,52,68,1.72,broken clouds
35,Vao,NC,-22.6667,167.4833,76.82,74,98,17.27,overcast clouds
36,La Rochelle,FR,46.1667,-1.15,68.07,68,0,13.8,clear sky
37,Busselton,AU,-33.65,115.3333,58.57,63,82,16.62,broken clouds
38,Kapaa,US,22.0752,-159.319,80.58,81,75,14.97,broken clouds
39,Norman Wells,CA,65.282,-126.8329,75.24,50,75,3.44,smoke
40,Eunice,US,30.4944,-92.4176,82.98,91,34,6.33,scattered clouds
41,Kodinsk,RU,58.6881,99.1844,66.27,66,100,3.49,overcast clouds
42,Mgandu,TZ,-5.95,34.1333,60.35,54,0,11.16,clear sky
43,Erenhot,CN,43.6475,111.9767,85.62,17,41,7.14,scattered clouds
44,San-Pedro,CI,4.7485,-6.6363,74.7,84,100,7.38,light rain
45,Saint George,US,37.1041,-113.5841,93.79,20,0,0.0,clear sky
46,Ushuaia,AR,-54.8,-68.3,31.66,80,75,20.71,light snow
47,Rikitea,PF,-23.1203,-134.9692,73.27,77,40,3.15,light rain
48,Carnarvon,AU,-24.8667,113.6333,67.6,68,100,16.69,overcast clouds
49,Daru,PG,-9.0763,143.2092,78.91,88,70,15.95,broken clouds
50,Buinsk,RU,54.95,48.2833,74.8,67,87,7.54,overcast clouds
51,Nikolskoye,RU,59.7035,30.7861,69.87,66,95,1.74,overcast clouds
52,Poronaysk,RU,49.2167,143.1167,61.72,84,82,11.21,broken clouds
53,Kodiak,US,57.79,-152.4072,53.11,87,100,13.8,light rain
54,Hobart,AU,-42.8794,147.3294,53.46,66,20,8.05,few clouds
55,Beringovskiy,RU,63.05,179.3167,49.3,93,100,4.23,light rain
56,Dalby,AU,-27.1833,151.2667,58.8,46,0,6.67,clear sky
57,San Mateo Del Mar,MX,16.2,-95.0,81.55,75,5,21.88,clear sky
58,Hilo,US,19.7297,-155.09,75.27,92,40,3.0,light rain
59,Hilton Head Island,US,32.2163,-80.7526,75.97,95,0,0.0,clear sky
60,Misratah,LY,32.3754,15.0925,79.02,58,1,4.99,clear sky
61,Saskylakh,RU,71.9167,114.0833,56.35,59,97,7.58,overcast clouds
62,Grand Gaube,MU,-20.0064,57.6608,72.37,63,76,11.01,broken clouds
63,Leh,IN,34.1667,77.5833,69.75,36,63,6.67,broken clouds
64,Inhambane,MZ,-23.865,35.3833,67.28,75,0,5.37,clear sky
65,Samarai,PG,-10.6167,150.6667,83.21,70,26,9.8,scattered clouds
66,Prince George,CA,53.9166,-122.753,56.64,94,100,8.05,overcast clouds
67,Ribeira Grande,PT,38.5167,-28.7,67.26,77,44,6.35,scattered clouds
68,Avarua,CK,-21.2078,-159.775,73.45,64,20,6.91,few clouds
69,Talara,PE,-4.5772,-81.2719,63.77,83,86,16.78,overcast clouds
70,Katsuura,JP,35.1333,140.3,78.62,82,53,10.27,broken clouds
71,Havoysund,NO,70.9963,24.6622,52.03,76,24,6.71,few clouds
72,Sur,OM,22.5667,59.5289,83.12,80,92,10.31,light rain
73,Mahebourg,MU,-20.4081,57.7,72.25,77,75,14.97,broken clouds
74,Luderitz,NA,-26.6481,15.1594,55.27,88,73,5.14,light rain
75,Yulara,AU,-25.2406,130.9889,64.33,21,0,8.66,clear sky
76,Saint-Philippe,RE,-21.3585,55.7679,71.22,72,79,15.9,broken clouds
77,Yellowknife,CA,62.456,-114.3525,61.32,94,75,3.44,broken clouds
78,Gorontalo,ID,0.5412,123.0595,81.73,81,87,3.02,moderate rain
79,Ola,RU,59.5833,151.2833,77.14,70,32,8.77,scattered clouds
80,Port Lincoln,AU,-34.7333,135.8667,58.66,53,100,17.05,overcast clouds
81,Shache,CN,38.4167,77.2406,89.1,18,90,9.46,overcast clouds
82,Tateyama,JP,34.9833,139.8667,77.72,85,55,11.12,broken clouds
83,Petatlan,MX,17.5167,-101.2667,78.53,91,79,2.28,broken clouds
84,Mataura,NZ,-46.1927,168.8643,43.48,93,15,1.59,few clouds
85,Bunia,CD,1.5667,30.25,67.93,79,78,4.81,broken clouds
86,Sampit,ID,-2.5333,112.95,85.96,69,55,4.34,broken clouds
87,Mount Isa,AU,-20.7333,139.5,69.57,21,0,12.66,clear sky
88,Pisco,PE,-13.7,-76.2167,62.65,82,100,4.61,mist
89,Camaguey,CU,21.3808,-77.9169,74.12,95,52,6.11,broken clouds
90,Omboue,GA,-1.5746,9.2618,69.3,88,69,4.9,broken clouds
91,Puerto Madryn,AR,-42.7692,-65.0385,49.64,51,100,11.21,overcast clouds
92,Tabuk,PH,17.4189,121.4443,90.03,61,95,3.83,overcast clouds
93,Nador,MA,35.174,-2.9287,73.65,83,40,4.61,scattered clouds
94,Baruun-Urt,MN,46.6806,113.2792,77.11,29,67,8.19,broken clouds
95,Ust-Ilimsk,RU,58.0006,102.6619,77.11,32,81,4.23,broken clouds
96,Komsomolskiy,UZ,40.4272,71.7189,84.92,21,55,4.61,broken clouds
97,Newport,GB,51.5877,-2.9984,61.52,78,0,5.46,clear sky
98,Yerbogachen,RU,61.2767,108.0108,73.35,35,5,4.88,clear sky
99,Port Elizabeth,ZA,-33.918,25.5701,60.31,84,0,11.5,clear sky
100,Geraldton,AU,-28.7667,114.6,61.21,82,40,13.8,scattered clouds
101,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,60.24,93,54,11.68,broken clouds
102,San Cristobal,VE,7.7669,-72.225,73.58,98,100,3.78,overcast clouds
103,Cabedelo,BR,-6.9811,-34.8339,72.27,83,25,14.25,scattered clouds
104,Dikson,RU,73.5069,80.5464,32.36,97,95,7.7,overcast clouds
105,Hualmay,PE,-11.0964,-77.6139,60.62,87,82,9.06,broken clouds
106,Ponta Delgada,PT,37.7333,-25.6667,67.5,77,75,9.22,broken clouds
107,Mar Del Plata,AR,-38.0023,-57.5575,56.08,96,100,8.01,mist
108,Longyearbyen,SJ,78.2186,15.6401,42.64,87,75,16.11,broken clouds
109,Mareeba,AU,-17.0,145.4333,75.43,63,5,3.91,clear sky
110,New Norfolk,AU,-42.7826,147.0587,53.1,75,3,1.66,clear sky
111,Nieuw Amsterdam,SR,5.8833,-55.0833,77.02,93,100,4.07,overcast clouds
112,Morondava,MG,-20.2833,44.2833,71.67,46,0,10.22,clear sky
113,Sao Bernardo,BR,-3.3614,-42.4178,72.14,92,20,2.33,few clouds
114,Clarence Town,AU,-32.5833,151.7833,56.8,93,98,1.61,light rain
115,Grootfontein,NA,-19.5667,18.1167,52.66,46,0,6.13,clear sky
116,Sandwick,GB,60.0,-1.25,53.42,100,100,12.66,mist
117,Sangin,AF,32.0728,64.8359,97.18,25,0,6.62,clear sky
118,Te Anau,NZ,-45.4167,167.7167,34.75,88,26,3.24,scattered clouds
119,Asau,RO,46.4333,26.4,67.28,62,87,1.5,overcast clouds
120,Taltal,CL,-25.4,-70.4833,55.85,80,79,2.89,broken clouds
121,Ilulissat,GL,69.2167,-51.1,34.81,93,97,4.68,overcast clouds
122,Bluff,NZ,-46.6,168.3333,43.81,73,39,2.44,scattered clouds
123,Pierre,US,44.3683,-100.351,79.86,75,0,13.8,clear sky
124,Bulgan,MN,48.8125,103.5347,66.11,61,100,9.31,overcast clouds
125,Roald,NO,62.5833,6.1333,54.75,87,75,5.75,broken clouds
126,Arman,RU,59.7,150.1667,77.02,68,30,6.6,scattered clouds
127,Esperance,AU,-33.8667,121.9,60.93,54,4,22.62,clear sky
128,Labuhan,ID,-6.8844,112.2051,85.91,55,22,4.72,few clouds
129,East London,ZA,-33.0153,27.9116,59.94,77,0,9.22,clear sky
130,Atuona,PF,-9.8,-139.0333,77.67,78,14,15.97,few clouds
131,Lompoc,US,34.6391,-120.4579,59.52,89,100,14.0,mist
132,Marawi,PH,7.9986,124.2928,75.96,84,96,6.76,overcast clouds
133,Ancud,CL,-41.8697,-73.8203,44.22,88,100,12.77,moderate rain
134,Praya,CV,14.9215,-23.5087,75.74,83,75,10.36,broken clouds
135,Georgetown,MY,5.4112,100.3354,87.75,78,20,2.3,heavy intensity rain
136,Ornskoldsvik,SE,63.2909,18.7153,56.35,94,100,8.05,overcast clouds
137,Dongsheng,CN,39.8161,109.9776,80.29,27,1,11.05,clear sky
138,Adrar,MR,20.5022,-10.0711,91.26,19,0,7.83,clear sky
139,Gamba,GA,-2.65,10.0,68.18,90,63,3.42,broken clouds
140,Makakilo City,US,21.3469,-158.0858,82.72,63,0,20.71,clear sky
141,Linxia,CN,35.6003,103.2064,87.12,40,85,8.39,overcast clouds
142,Torbay,CA,47.6666,-52.7314,54.75,91,20,13.8,few clouds
143,Ferrol,ES,43.4832,-8.2369,67.68,92,81,4.25,broken clouds
144,Bull Savanna,JM,17.8868,-77.5902,76.05,71,100,6.8,overcast clouds
145,Miracema Do Tocantins,BR,-9.5618,-48.3967,70.09,43,2,3.11,clear sky
146,High Rock,BS,26.6208,-78.2833,82.42,72,2,12.8,clear sky
147,Fortuna,US,40.5982,-124.1573,60.91,89,100,3.0,overcast clouds
148,Praia,CV,14.9215,-23.5087,75.74,83,75,10.36,broken clouds
149,Caravelas,BR,-17.7125,-39.2481,69.91,86,31,6.24,scattered clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,86.5,42,41,3.0,scattered clouds
151,Bambous Virieux,MU,-20.3428,57.7575,72.21,77,75,14.97,broken clouds
152,Dothan,US,31.2232,-85.3905,75.4,96,53,6.93,broken clouds
153,Olinda,BR,-8.0089,-34.8553,76.73,78,100,11.5,overcast clouds
154,Iquitos,PE,-3.7481,-73.2472,73.44,100,75,4.61,broken clouds
155,Aksarka,RU,66.5606,67.7975,70.36,43,61,15.97,broken clouds
156,Akhmeta,GE,42.0311,45.2075,79.32,31,70,2.1,broken clouds
157,Tezu,IN,27.9167,96.1667,94.71,55,11,4.07,few clouds
158,Ponta Do Sol,PT,32.6667,-17.1,68.63,65,2,3.33,clear sky
159,Pasni,PK,25.2631,63.471,84.16,78,48,4.76,scattered clouds
160,Nanortalik,GL,60.1432,-45.2371,40.5,95,72,8.52,broken clouds
161,Panzhihua,CN,26.5851,101.7128,92.43,42,9,3.0,clear sky
162,Sao Filipe,CV,14.8961,-24.4956,73.29,84,46,6.73,scattered clouds
163,Trairi,BR,-3.2778,-39.2689,75.56,83,71,11.27,broken clouds
164,Katherine,AU,-14.4667,132.2667,77.32,23,5,9.22,clear sky
165,La Ronge,CA,55.1001,-105.2842,62.85,67,20,3.44,few clouds
166,Thompson,CA,55.7435,-97.8558,59.16,100,75,0.0,broken clouds
167,Upernavik,GL,72.7868,-56.1549,37.81,89,41,4.72,scattered clouds
168,Ngunguru,NZ,-35.6167,174.5,60.66,83,100,6.02,moderate rain
169,Wanaka,NZ,-44.7,169.15,30.25,84,97,2.91,overcast clouds
170,Les Cayes,HT,18.2,-73.75,77.5,78,99,3.65,overcast clouds
171,Wanning,CN,18.8003,110.3967,84.49,85,85,9.84,overcast clouds
172,Sitka,US,57.0531,-135.33,57.09,88,75,0.0,broken clouds
173,Honiara,SB,-9.4333,159.95,83.26,72,62,2.86,broken clouds
174,Almeirim,BR,-1.5233,-52.5817,72.03,95,5,1.81,clear sky
175,Severo-Kurilsk,RU,50.6789,156.125,61.47,80,93,9.71,overcast clouds
176,Nantucket,US,41.2835,-70.0995,61.02,88,0,0.0,clear sky
177,Kyshtovka,RU,56.555,76.6271,79.68,59,32,2.82,scattered clouds
178,Mackay,AU,-21.15,149.2,67.68,50,0,11.12,clear sky
179,Bayji,IQ,34.9311,43.487,96.78,24,0,20.02,clear sky
180,Hasaki,JP,35.7333,140.8333,88.2,81,75,13.94,broken clouds
181,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,93,100,10.36,fog
182,Kabompo,ZM,-13.5927,24.2008,55.56,64,3,6.96,clear sky
183,Siocon,PH,7.7061,122.1353,79.56,85,100,3.06,overcast clouds
184,Mafinga,TZ,-7.25,35.0667,65.43,48,0,5.37,clear sky
185,Elizabeth City,US,36.2946,-76.2511,74.01,96,100,13.8,overcast clouds
186,Syracuse,IT,37.0881,15.2792,72.99,60,0,4.92,clear sky
187,Henties Bay,NA,-22.116,14.2845,53.87,86,0,9.98,clear sky
188,Carauari,BR,-4.8828,-66.8958,71.58,97,85,2.73,overcast clouds
189,Zapotiltic,MX,19.6167,-103.4333,65.43,96,100,1.7,overcast clouds
190,Chapais,CA,49.7834,-74.8492,44.38,66,2,3.58,clear sky
191,Kyabe,TD,9.4515,18.9449,74.26,86,96,5.17,overcast clouds
192,Cacoal,BR,-11.4386,-61.4472,72.14,67,14,3.56,few clouds
193,Kilindoni,TZ,-7.9139,39.6668,75.27,72,15,11.36,light rain
194,Tevriz,RU,57.509,72.4042,83.95,42,82,3.51,broken clouds
195,Souillac,MU,-20.5167,57.5167,68.38,77,75,14.97,broken clouds
196,Flinders,AU,-34.5833,150.8552,56.17,87,75,4.0,light rain
197,Fairbanks,US,64.8378,-147.7164,68.0,75,20,0.0,haze
198,Rocha,UY,-34.4833,-54.3333,64.63,86,37,14.23,scattered clouds
199,Faanui,PF,-16.4833,-151.75,78.3,72,72,19.89,broken clouds
200,Cururupu,BR,-1.8283,-44.8683,72.18,97,20,1.95,few clouds
201,Lyngseidet,NO,69.5763,20.2189,57.2,75,36,2.59,scattered clouds
202,Boysun,UZ,38.2061,67.1986,85.64,16,1,7.87,clear sky
203,Olafsvik,IS,64.8945,-23.7142,51.22,94,100,19.42,overcast clouds
204,Bethel,US,41.3712,-73.414,68.31,72,0,3.44,clear sky
205,Lawrence,US,38.9717,-95.2353,74.61,83,0,0.0,clear sky
206,Cayenne,GF,4.9333,-52.3333,74.08,1,75,4.61,broken clouds
207,Aktash,RU,50.3,87.7333,54.12,68,91,4.65,overcast clouds
208,Rawson,AR,-43.3002,-65.1023,47.35,72,100,18.3,overcast clouds
209,Hirara,JP,24.8,125.2833,89.87,74,75,10.36,broken clouds
210,Soyo,AO,-6.1349,12.3689,70.68,82,94,7.34,overcast clouds
211,Ukiah,US,39.1502,-123.2078,69.69,67,0,0.0,clear sky
212,Lorengau,PG,-2.0226,147.2712,84.24,70,92,9.6,overcast clouds
213,Clyde River,CA,70.4692,-68.5914,35.83,93,0,3.44,clear sky
214,Timbiqui,CO,2.7717,-77.6654,74.52,96,98,4.21,light rain
215,Malumfashi,NG,11.7853,7.6218,72.27,87,100,11.68,overcast clouds
216,Bundaberg,AU,-24.85,152.35,61.74,64,25,7.0,scattered clouds
217,Laguna,US,38.421,-121.4238,76.32,61,0,6.91,clear sky
218,Marshfield,US,44.6689,-90.1718,63.48,82,0,4.61,clear sky
219,Sjovegan,NO,68.8726,17.8474,59.22,77,82,2.59,broken clouds
220,Saint-Pierre,RE,-21.3393,55.4781,72.91,63,0,20.71,clear sky
221,Ahipara,NZ,-35.1667,173.1667,58.53,85,100,5.41,light rain
222,Ploemeur,FR,47.7333,-3.4333,64.81,76,0,10.36,clear sky
223,Skala Fourkas,GR,39.9998,23.3841,71.55,67,54,18.37,broken clouds
224,Ararat,AM,39.8317,44.7049,80.94,32,2,2.01,clear sky
225,Galesong,ID,-5.3166,119.3661,86.02,77,93,8.66,overcast clouds
226,Angoram,PG,-4.0625,144.0661,82.69,74,99,5.28,overcast clouds
227,Tigil,RU,57.8,158.6667,77.86,61,36,6.49,scattered clouds
228,Sinnamary,GF,5.3833,-52.95,75.38,89,99,3.33,light rain
229,Leningradskiy,RU,69.3833,178.4167,37.9,89,100,15.41,light rain
230,Acarau,BR,-2.8856,-40.12,77.32,80,94,13.62,overcast clouds
